,H11,H12,H13,H14,H61,H62,H63,H64,I11,I12,I13,I14,I61,I62,I63,I64,U11,U12,U13,U14
Vigun01g000100.v1.1,3,2,8,0,8,10,1,14,2,1,4,2,5,8,11,6,5,13,5,5
Vigun01g000200.v1.1,131,134,193,193,305,301,132,274,202,257,320,189,251,229,292,275,252,243,256,141
Vigun01g000300.v1.1,1,3,6,8,11,43,10,6,6,13,1,2,7,0,14,29,12,13,10,11
Vigun01g000400.v1.1,16,8,16,9,26,22,4,10,7,8,20,9,14,11,16,10,21,20,16,16
Vigun01g000500.v1.1,30,20,14,19,30,28,39,27,20,19,25,22,27,38,41,30,34,23,28,23
Vigun01g000600.v1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vigun01g000700.v1.1,86,76,112,57,195,234,293,281,67,71,141,65,147,231,208,176,112,109,134,78
Vigun01g000800.v1.1,6,7,2,17,6,27,1,5,4,10,3,1,9,9,23,8,8,12,2,7
Vigun01g000900.v1.1,2,5,2,1,1,0,3,2,1,0,1,2,1,2,5,7,1,1,1,2
Vigun01g001000.v1.1,18,3,0,2,6,4,7,8,2,0,2,2,0,1,4,2,5,1,5,0
Vigun01g001100.v1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vigun01g001200.v1.1,9,3,6,0,1,1,3,2,5,0,12,16,0,1,1,0,10,1,6,0
Vigun01g001300.v1.1,317,308,286,376,713,756,431,543,303,307,472,314,582,618,727,812,461,468,440,346
Vigun01g001400.v1.1,9,1,8,0,11,12,1,8,2,1,5,5,8,15,7,6,9,5,6,6
Vigun01g001500.v1.1,85,54,62,40,69,88,149,80,37,61,84,62,58,51,41,86,88,95,76,45
Vigun01g001600.v1.1,303,331,304,312,427,466,265,403,312,249,357,342,308,318,335,389,481,471,479,255
Vigun01g001700.v1.1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vigun01g001800.v1.1,126,92,114,86,117,137,101,109,71,69,128,145,84,99,106,104,206,222,211,107
Vigun01g001900.v1.1,232,214,213,247,446,421,343,326,235,211,302,272,327,292,352,504,385,402,392,227
Vigun01g002000.v1.1,200,246,288,236,296,251,175,227,220,147,291,279,165,215,222,175,320,406,443,237
Vigun01g002100.v1.1,75,60,50,38,130,124,73,117,39,30,65,56,100,113,134,139,54,47,54,31
Vigun01g002200.v1.1,89,63,60,47,90,74,229,73,42,40,42,54,64,54,75,83,81,81,58,39
Vigun01g002300.v1.1,73,43,40,27,40,79,22,50,34,21,46,38,55,42,62,69,55,68,49,31
