gene,arabi-defline
Vigun10g045700,Vacuolar iron transporter (VIT) family protein
Vigun03g175900,"cytochrome P450, family 93, subfamily D, polypeptide 1"
Vigun04g128000,Peroxidase superfamily protein
Vigun02g197900,Pyridoxal-5\'-phosphate-dependent enzyme family protein
Vigun01g200500,NAD(P)-binding Rossmann-fold superfamily protein
Vigun11g007600,annexin 4
Vigun04g141200,chitinase A
Vigun09g142400,no annotation
Vigun11g046000,chitinase A
Vigun04g179200,"cytochrome P450, family 82, subfamily C, polypeptide 2"
Vigun03g264500,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun04g026100,chlorophyllase 1
Vigun11g073100,terpene synthase 21
Vigun05g143200,drought-repressed 4
Vigun05g246700,"terpene synthase-like sequence-1,8-cineole"
Vigun02g200300,Pyridoxal-5\'-phosphate-dependent enzyme family protein
Vigun10g044700,"cytochrome P450, family 82, subfamily G, polypeptide 1"
Vigun11g073400,terpene synthase 21
Vigun07g048300,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Vigun05g089300,Peroxidase superfamily protein
Vigun03g418200,MLP-like protein 423
Vigun04g027400,no annotation
Vigun05g143600,drought-repressed 4
Vigun03g047700,osmotin 34
Vigun06g084300,Peroxidase superfamily protein
Vigun04g149000,glutaminyl cyclase
Vigun08g040600,no annotation
Vigun04g008900,Polyketide cyclase/dehydrase and lipid transport superfamily protein
Vigun11g213200,terpene synthase 03
Vigun06g083900,HXXXD-type acyl-transferase family protein
Vigun11g045900,chitinase A
Vigun04g079600,myb domain protein 105
Vigun02g188900,Chalcone and stilbene synthase family protein
Vigun03g130900,MLP-like protein 423
Vigun05g143300,drought-repressed 4
Vigun08g105100,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun04g173100,Plant protein of unknown function (DUF247)
Vigun06g000100,no annotation
Vigun11g114300,"terpene synthase-like sequence-1,8-cineole"
Vigun06g159100,Stigma-specific Stig1 family protein
Vigun06g213100,basic pathogenesis-related protein 1
Vigun03g111800,no annotation
Vigun03g379700,Deoxyxylulose-5-phosphate synthase
Vigun02g189200,Chalcone and stilbene synthase family protein
Vigun07g115500,no annotation
Vigun05g143900,drought-repressed 4
Vigun02g075200,Chalcone and stilbene synthase family protein
Vigun05g253400,no annotation
Vigun09g084400,polygalacturonase inhibiting protein 1
Vigun09g018600,"cytochrome P450, family 81, subfamily D, polypeptide 3"
Vigun11g074100,terpene synthase 21
Vigun01g228500,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun08g218700,NAD(P)-linked oxidoreductase superfamily protein
Vigun10g064700,no annotation
Vigun07g005300,no annotation
Vigun11g026500,Chalcone and stilbene synthase family protein
Vigun10g152900,O-methyltransferase 1
Vigun06g109700,HXXXD-type acyl-transferase family protein
Vigun03g140800,FAD-binding Berberine family protein
Vigun07g226500,Concanavalin A-like lectin protein kinase family protein
Vigun11g108500,Auxin-responsive GH3 family protein
Vigun03g199200,Pectin lyase-like superfamily protein
Vigun06g000200,no annotation
Vigun05g145700,kunitz trypsin inhibitor 1
Vigun11g123600,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g094800,NOD26-like intrinsic protein 1;2
Vigun11g123800,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g118300,terpene synthase 14
Vigun02g197100,alpha/beta-Hydrolases superfamily protein
Vigun05g144000,drought-repressed 4
Vigun03g130600,MLP-like protein 423
Vigun11g007500,annexin 3
Vigun03g418400,MLP-like protein 423
Vigun02g029900,RING-H2 finger protein 2B
Vigun06g141300,Peroxidase superfamily protein
Vigun08g182100,cystatin B
Vigun08g021800,phospholipase A 2A
Vigun05g146200,kunitz trypsin inhibitor 1
Vigun05g131100,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun07g005800,no annotation
Vigun05g042200,Transmembrane amino acid transporter family protein
Vigun05g253300,no annotation
Vigun11g087000,Peroxidase superfamily protein
Vigun07g209100,disease resistance family protein / LRR family protein
Vigun10g152800,O-methyltransferase 1
Vigun08g199500,geranylgeranyl pyrophosphate synthase 1
Vigun01g024100,Pectin lyase-like superfamily protein
Vigun11g026600,Chalcone and stilbene synthase family protein
Vigun01g075000,Esterase/lipase/thioesterase family protein
Vigun03g342100,ABI five binding protein 3
Vigun02g188800,Chalcone and stilbene synthase family protein
Vigun02g024500,no annotation
Vigun04g135400,extensin 3
Vigun03g129300,white-brown complex homolog protein 11
Vigun05g224600,Receptor-like protein kinase-related family protein
Vigun02g189000,Chalcone and stilbene synthase family protein
Vigun05g181300,no annotation
Vigun04g143400,receptor like protein 43
Vigun01g010600,NmrA-like negative transcriptional regulator family protein
Vigun05g146100,kunitz trypsin inhibitor 1
Vigun05g203600,C-terminal cysteine residue is changed to a serine 1
Vigun03g402800,lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme
Vigun08g108300,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun03g141300,FAD-binding Berberine family protein
Vigun08g132400,Peroxidase superfamily protein
Vigun03g397100,oxophytodienoate-reductase 3
Vigun01g127800,Disease resistance-responsive (dirigent-like protein) family protein
Vigun09g126200,nodulin MtN21 /EamA-like transporter family protein
Vigun10g175500,Pyridoxal phosphate phosphatase-related protein
Vigun02g201000,Transmembrane amino acid transporter family protein
Vigun09g240800,Cupredoxin superfamily protein
Vigun03g376500,no annotation
Vigun03g382000,Galactosyltransferase family protein
Vigun06g028200,Lateral root primordium (LRP) protein-related
Vigun05g214100,O-acyltransferase (WSD1-like) family protein
Vigun03g111200,alpha/beta-Hydrolases superfamily protein
Vigun11g117900,small and basic intrinsic protein 1A
Vigun03g223800,Calcium-binding EF-hand family protein
Vigun01g235000,aspartate aminotransferase
Vigun03g417900,MLP-like protein 423
Vigun03g265000,no annotation
Vigun01g192400,senescence-associated gene 21
Vigun05g068000,no annotation
Vigun01g139100,alpha/beta-Hydrolases superfamily protein
Vigun05g122000,no annotation
Vigun03g077100,C2H2 and C2HC zinc fingers superfamily protein
Vigun05g067900,no annotation
Vigun05g253500,no annotation
Vigun02g129000,NmrA-like negative transcriptional regulator family protein
Vigun06g167300,no annotation
Vigun06g147800,no annotation
Vigun10g010800,phospholipase A 2A
Vigun07g164000,methionine gamma-lyase
Vigun03g118100,terpene synthase 14
Vigun11g039400,Chalcone and stilbene synthase family protein
Vigun11g032800,no annotation
Vigun03g077200,no annotation
Vigun03g247100,Auxin efflux carrier family protein
Vigun06g131800,no annotation
Vigun11g202500,alpha/beta-Hydrolases superfamily protein
Vigun06g035200,HXXXD-type acyl-transferase family protein
Vigun07g204300,no annotation
Vigun03g109300,heat shock transcription factor  B2A
Vigun05g146000,kunitz trypsin inhibitor 1
Vigun11g085500,Cysteine proteinases superfamily protein
Vigun10g125000,NAD(P)-binding Rossmann-fold superfamily protein
Vigun04g179800,"cytochrome P450, family 82, subfamily C, polypeptide 2"
Vigun04g183300,Peroxidase superfamily protein
Vigun09g197100,no annotation
Vigun09g278000,basic chitinase
Vigun07g233600,hydroxyproline-rich glycoprotein family protein
Vigun02g135600,geranylgeranyl pyrophosphate synthase 1
Vigun06g122400,NAD(P)-binding Rossmann-fold superfamily protein
Vigun09g157700,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein
Vigun06g113200,pathogenesis-related 4
Vigun10g044600,"cytochrome P450, family 82, subfamily C, polypeptide 4"
Vigun06g109000,HXXXD-type acyl-transferase family protein
Vigun10g153200,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun03g085900,RmlC-like cupins superfamily protein
